Date,Forecast,Lower_Bound,Upper_Bound
2003-01-06,20342.531228764976,-8338.318202288021,51486.89964129009
2003-01-09,31095.705680860963,3931.022197744476,60025.35873807083
2003-01-10,29741.622812697817,1606.4140553301158,59016.24089249303
2003-01-29,31933.258970195715,2853.281663796521,62214.86201908334
2003-01-31,33985.76139002158,2500.311191911356,64551.35876545339
2003-02-11,37398.17690227798,6696.0493835402285,68908.09107930487
2003-02-17,32486.39440281564,3426.8691679412723,60969.1788397182
2003-02-24,34048.75737000835,6637.829207562151,63000.286877416416
2003-03-03,30769.31339850089,1715.9010978606718,61952.442685235495
2003-03-10,24562.39720498801,-5521.436072478511,54142.7267763282
2003-03-18,27743.443392322297,-506.0115716014909,56399.27122471543
2003-03-24,19233.156507183536,-10974.881852650147,48595.169164649276
2003-03-25,27502.798320295435,-2867.3901125981583,54146.48230542367
2003-03-26,24126.818119464027,-2876.4861382224626,52117.48417236229
2003-04-01,28795.889702590594,-675.2022181008141,58291.45119748431
2003-04-04,27801.913778109898,-1405.9595587851784,58295.74058959596
2003-04-11,27127.205385291636,-3334.640050069557,57238.96021810768
2003-04-16,24210.767253576698,-3492.3935981279637,54700.4279890857
2003-04-21,20221.846179680964,-7945.737885181983,50283.74585348173
2003-04-28,23919.864959598883,-6709.310829121639,50383.756677695266
2003-04-29,32786.24890835084,4182.880691672183,60858.89775754647
2003-05-07,35098.173826889775,6646.965881438432,63369.327158482476
2003-05-08,40015.25138733839,9075.736331213384,69770.18435959375
2003-05-20,40509.384636726274,14078.574002888641,69528.68563138312
2003-05-21,36712.36572995697,6639.543686353171,64722.29918195367
2003-05-28,34783.95103405678,4474.0669312362215,65193.94325055319
2003-06-03,37197.76598836172,7177.92814405104,66712.35598434135
2003-06-06,35554.45939723674,8300.487863419592,66352.02640782371
2003-06-12,36434.93339826177,6352.204791333112,65832.92098478146
2003-06-16,26236.22883940756,-825.5362119879752,55403.02111979545
2003-06-27,29481.46032838554,697.2896978079591,57153.99863141357
2003-07-01,30818.649341584838,1056.9106743496068,59276.99936106685
2003-07-02,27501.67648432481,-381.50987183418323,57313.05704050597
2003-07-04,30541.99669768328,1981.9367204049129,56910.82121258917
2003-07-10,36286.67468793478,8283.427449635905,64634.17324369639
2003-07-16,36240.241178209864,9998.582221947008,64521.79136749694
2003-07-24,43175.31408818208,13038.270187373248,71995.4080931877
2003-08-01,39627.7689793622,9381.218980204325,68025.27913926775
2003-08-08,38945.36788398096,8082.14487226166,67878.6485726293
2003-08-10,44568.92277586614,14456.67175536255,76213.21666326726
2003-08-13,38283.0520273552,7078.950358999475,68681.64435571521
2003-08-25,40025.15188816023,11077.445825209974,70323.65109610076
2003-09-03,40510.10210581469,10418.965825293364,69324.82919909667
2003-09-05,40517.74999474213,11897.44671644278,71542.30623443279
2003-09-11,34242.760522327306,6439.00754095479,63103.46636988188
2003-09-12,30848.435750394096,2260.612443863213,58289.03817179434
2003-09-19,24030.11159181716,-4346.800863142709,52367.651552059084
2003-09-21,28609.13704442772,1450.5026577794883,56886.15479025925
2003-09-25,26408.758822887386,-3609.3447275864814,54683.02256187401
2003-09-28,32146.289936202193,4275.045564337409,61422.40082376962
2003-10-02,34466.597125818225,4648.745039096433,63264.91654262664
2003-10-04,20003.6717252769,-10112.860587253219,47063.602968260835
2003-10-05,42813.98384714749,12805.943114077716,74733.3507558661
2003-10-06,32572.148606568247,4331.1271924326165,62825.85010203719
2003-10-08,40942.045280362065,13680.741979217371,71529.07520090498
2003-10-10,47077.39889670859,17819.953556149336,76697.68176404138
2003-10-11,33130.36149027877,4895.142113069743,62462.39259395055
2003-10-17,58967.443335298216,29010.14433384485,85194.10353490294
2003-10-18,44512.849697923644,14320.822046832562,72093.55654725348
2003-10-20,55829.06487477664,26130.610546954093,86294.48785613565
2003-10-21,64978.811367890914,35192.84931063914,94884.18536187979
2003-10-22,62326.406303777614,34524.16334944249,88812.38309625509
2003-10-23,67450.14898990799,40246.148976754994,98620.66639382148
2003-10-28,68556.0912138363,40938.01830634611,97081.56304640112
2003-11-04,66319.36802312244,36767.633185392,96526.79758126324
2003-11-05,62094.98482556243,33058.52569517276,93467.81019538094
2003-11-06,65714.30445403402,36945.45820110567,93707.65622382135
2003-11-07,62904.58829111034,35212.464960579804,94166.80627261552
2003-11-08,46263.70308746647,18273.586837766226,74976.88288538741
2003-11-11,60742.24568313229,32515.333242768196,90576.17090609421
2003-11-12,56339.644612401346,27155.61681449538,84959.12915601644
2003-11-13,59859.84986342983,29435.397572075148,88305.47641590245
2003-11-14,57028.61155223635,27415.430671948972,88507.30904045375
2003-11-18,55479.779894592735,26559.73275065116,83490.59817383671
2003-11-19,51375.120118391955,22240.89405720691,80877.32738118351
2003-11-20,55234.82853052711,25953.777217216626,84641.3712006924
2003-11-21,52774.781713128716,22653.90845801611,82262.29273050882
2003-11-25,52808.82336299617,24806.73341918373,81379.65229990818
2003-11-26,49067.54250550887,17894.65440295011,76225.39819207837
2003-11-27,53255.47781914474,27155.247679331078,83962.74462708682
2003-12-01,43703.37560315852,15421.244073520658,71700.59186257231
2003-12-02,51628.927723649525,22502.09275092529,81440.40192175421
2003-12-03,47835.157670906214,18735.147690071422,77224.49117169323
2003-12-05,49509.11425241836,22669.258422881834,79351.62886281927
2003-12-09,48553.77659343837,18206.911492836356,77273.94280028639
2004-01-02,27436.603334627587,-2160.331391505789,54561.536793895924
2004-01-09,30541.48321966511,2030.8358247884778,58615.631885887495
2004-01-12,25658.965973186037,-4553.674747262292,57355.91717269023
2004-01-15,36441.97861116741,4839.92476410753,64877.40171262141
2004-01-16,34935.98092019033,4423.825687849347,65904.20428246507
2004-01-22,38623.729454004664,6666.147524425245,68737.1842841141
